,0,1,2,3,4
0,2020-07-20 11:00:09,1285167607973154817,"You're eager to step foot into something new today. Beware, th... More for Virgo https://t.co/3H9uToBQvj","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3H9uToBQvj', 'expanded_url': 'http://bit.ly/A7Cwfs', 'display_url': 'bit.ly/A7Cwfs', 'indices': [81, 104]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 09:11:24,1285140239535599616,straight p0rn &lt; lezbo p0rn,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 02:28:09,1285038758732140544,@RitaavecunR Lezbo 🤣🤣🖕🏻,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RitaavecunR', 'name': 'Ritasansghstp', 'id': 1217935579075182594, 'id_str': '1217935579075182594', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
3,2020-07-19 22:43:46,1284982290616066049,lol am i thé only lezbo who is just now watching « How do you know »,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-19 22:37:23,1284980684956868609,"Trying to get someone who told me to kill myself and called me a ""lezbo cunt"" after standing up for another woman f… https://t.co/aTvtRLLj0w","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aTvtRLLj0w', 'expanded_url': 'https://twitter.com/i/web/status/1284980684956868609', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-19 19:32:45,1284934219362426882,@smolbrowngirll With girlfriend? You lezbo?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'smolbrowngirll', 'name': 'areej', 'id': 776558815, 'id_str': '776558815', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-19 18:44:49,1284922155722039296,@karantinkid Bebo samo lezbo fazon,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'karantinkid', 'name': 'Nervoza', 'id': 3349846641, 'id_str': '3349846641', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
7,2020-07-19 18:00:09,1284910917973671937,"@AndjelkovicPi @Djumbirkaa @g_vilotije Po statistici i lezbo-premijeru: Ako Vas udari autobus, umrli ste od Covid-a. Tako da, tačno!","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AndjelkovicPi', 'name': 'Ivan Andjelkovic PI', 'id': 1282287395740819458, 'id_str': '1282287395740819458', 'indices': [0, 14]}, {'screen_name': 'Djumbirkaa', 'name': 'Sosa', 'id': 1257769048248590337, 'id_str': '1257769048248590337', 'indices': [15, 26]}, {'screen_name': 'g_vilotije', 'name': 'Vilotije', 'id': 291994617, 'id_str': '291994617', 'indices': [27, 38]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
8,2020-07-19 15:58:13,1284880230491074561,RT @tabiriyok: Kolumda ip bileklik var diye gözünü dikti bana bakıuo ya hadi ablacım lezbo degilim hadi,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tabiriyok', 'name': 'Piu', 'id': 977498947806810112, 'id_str': '977498947806810112', 'indices': [3, 13]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
9,2020-07-19 15:37:04,1284874906455420928,Kolumda ip bileklik var diye gözünü dikti bana bakıuo ya hadi ablacım lezbo degilim hadi,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
