,0,1,2,3,4
0,2020-07-20 14:04:33,1285214011378880517,"RT @yootonna: Honey, you don't know if your baby daddy will be an axe murderer or child molester.....","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yootonna', 'name': '🧚🏾\u200d♀️انايت', 'id': 2779851060, 'id_str': '2779851060', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:04:24,1285213973261029376,"@Nugg4life 1. Joker 
2. Darth Vader 
3. Child Molester looking guy 
4. Alien with the chin","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nugg4life', 'name': 'ℤ𝕒𝕔𝕙²⁷✨💯', 'id': 1137236008368508929, 'id_str': '1137236008368508929', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 14:01:40,1285213286770909190,"@RepBryanSteil You cover the spectrum of the GOP groinal obsession: you worship the daughter-lusting, adulterous, c… https://t.co/0kXb0DkXBJ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepBryanSteil', 'name': 'Bryan Steil', 'id': 1075205691621720064, 'id_str': '1075205691621720064', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/0kXb0DkXBJ', 'expanded_url': 'https://twitter.com/i/web/status/1285213286770909190', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 14:00:57,1285213107636273152,@thejtlewis @JoeBiden Apparently @JoeBiden doesn’t look like a child molester like your guy does @thejtlewis,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thejtlewis', 'name': 'JT Lewis', 'id': 3310061541, 'id_str': '3310061541', 'indices': [0, 11]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [12, 21]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [33, 42]}, {'screen_name': 'thejtlewis', 'name': 'JT Lewis', 'id': 3310061541, 'id_str': '3310061541', 'indices': [97, 108]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:00:13,1285212922696916994,Has everyone just forgotten he was a child molester or??? https://t.co/R1EKg2Cigc,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R1EKg2Cigc', 'expanded_url': 'https://twitter.com/boonholly/status/1284987980969644043', 'display_url': 'twitter.com/boonholly/stat…', 'indices': [58, 81]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:58:28,1285212481682538497,RT @TalibKweli: Maya harassed my family then called me a rapist and a child molester. What has Eque done to you? Absolutely nothing. So why…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TalibKweli', 'name': 'Talib Kweli Greene', 'id': 18511475, 'id_str': '18511475', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:53:22,1285211198183677953,"11/* line or favor you agree to either be killed, or exposed as a child molester. They test this with the wars for… https://t.co/tHp1c7yWmB","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tHp1c7yWmB', 'expanded_url': 'https://twitter.com/i/web/status/1285211198183677953', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:52:23,1285210949943779328,"RT @Lxrrythegoblin: Hey Twitter Malawi, not much... but I have a cousin who I grade A Child Molester, DMed earlier this week to ‘Explain hi…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lxrrythegoblin', 'name': 'Lxrry', 'id': 1657690040, 'id_str': '1657690040', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:51:31,1285210733282619394,"@theadionysia Even in Martin Luthers translation from 1534, the word that is used ""knabenschander"" literally translates to boy molester.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theadionysia', 'name': '☦', 'id': 44190513, 'id_str': '44190513', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:50:54,1285210576797536262,"RT @USATRUMPMAN1: Alyssa Milano,world renowned star is tweeting about getting libtards organized to physically remove  Trump. Who is she? I…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'USATRUMPMAN1', 'name': 'USA Trump Man 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸', 'id': 1263604554110832645, 'id_str': '1263604554110832645', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
