,0,1,2,3,4
0,2020-07-20 08:55:37,1285136266959425536,aš per visą ofisą: JEI SEKSUALINĖ ORIENTACIJA BŪTŲ PASIRENKAMA BŪČIAU LEZBĖ BET KĄ TURIM TĄ TURIM (žiūri liūdnai pro langą),"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'lt', 'result_type': 'recent'}"
1,2020-07-20 00:04:38,1285002639206481920,RT @elviYEETa: ja es taisu pati savus auskarus ja es neesmu lezbe ja mes eksistejam,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elviYEETa', 'name': 'elvita ir 𓆏', 'id': 1160531481262985217, 'id_str': '1160531481262985217', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'lv', 'result_type': 'recent'}"
2,2020-07-19 18:28:25,1284918028568846340,ja es taisu pati savus auskarus ja es neesmu lezbe ja mes eksistejam,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'lv', 'result_type': 'recent'}"
3,2020-07-19 12:50:35,1284833011515699201,"NISAM XOMOFIL ALI SMRT PEDERY I TRANGY 
LEZBE SU OK TO PODRZAVAMO NA XVIDEOS XEXE","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
4,2020-07-19 11:08:05,1284807217938456576,@leyanells Hewo lezbe moots,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leyanells', 'name': 'ᜁᜌ | eya 🌨️', 'id': 1012362383434571777, 'id_str': '1012362383434571777', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-19 07:14:15,1284748371052433408,"RT @DKosterca: @1radovedna @RJopici Lezbe so zato,ker so tako grde.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DKosterca', 'name': 'Dare Kosterca', 'id': 3027974001, 'id_str': '3027974001', 'indices': [3, 13]}, {'screen_name': '1radovedna', 'name': 'Katrca podpira vlado.', 'id': 2155124634, 'id_str': '2155124634', 'indices': [15, 26]}, {'screen_name': 'RJopici', 'name': 'Rumeni jopiči', 'id': 1276219727929651202, 'id_str': '1276219727929651202', 'indices': [27, 35]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
6,2020-07-19 07:12:15,1284747868478349312,"RT @DKosterca: @1radovedna @RJopici Lezbe so zato,ker so tako grde.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DKosterca', 'name': 'Dare Kosterca', 'id': 3027974001, 'id_str': '3027974001', 'indices': [3, 13]}, {'screen_name': '1radovedna', 'name': 'Katrca podpira vlado.', 'id': 2155124634, 'id_str': '2155124634', 'indices': [15, 26]}, {'screen_name': 'RJopici', 'name': 'Rumeni jopiči', 'id': 1276219727929651202, 'id_str': '1276219727929651202', 'indices': [27, 35]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
7,2020-07-19 07:12:08,1284747836656058368,RT @1radovedna: @RJopici Zakaj so vse lezbe tok grde?😱,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1radovedna', 'name': 'Katrca podpira vlado.', 'id': 2155124634, 'id_str': '2155124634', 'indices': [3, 14]}, {'screen_name': 'RJopici', 'name': 'Rumeni jopiči', 'id': 1276219727929651202, 'id_str': '1276219727929651202', 'indices': [16, 24]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
8,2020-07-19 02:40:05,1284679374050979841,moved to @SAV4NAHH lezbe mutuals don hehe.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAV4NAHH', 'name': 'moved, check pinned!', 'id': 1140100951082033152, 'id_str': '1140100951082033152', 'indices': [9, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-18 17:36:44,1284542634627866624,RT @1radovedna: @RJopici Zakaj so vse lezbe tok grde?😱,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1radovedna', 'name': 'Katrca podpira vlado.', 'id': 2155124634, 'id_str': '2155124634', 'indices': [3, 14]}, {'screen_name': 'RJopici', 'name': 'Rumeni jopiči', 'id': 1276219727929651202, 'id_str': '1276219727929651202', 'indices': [16, 24]}], 'urls': []}","{'iso_language_code': 'sl', 'result_type': 'recent'}"
