,0,1,2,3,4
0,2020-07-20 13:59:53,1285212837560889345,RT @shannonrwatts: A man shopping at a Washington state Kroger pulled a loaded revolver from a holster and pointed it at a fellow shopper w…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shannonrwatts', 'name': 'Shannon Watts', 'id': 246939630, 'id_str': '246939630', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:50:32,1285210484141170690,RT @Everytown: A 30-year-old man in California was charged with two felonies for allegedly waving a loaded gun during an argument with peop…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Everytown', 'name': 'Everytown', 'id': 250386727, 'id_str': '250386727', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:47:19,1285209674158088193,"Saying ""oh but I feel fine"" is like saying ""oh the gun might not be loaded"". You can still be asymptomatic. We are… https://t.co/KJ3SFyxKdA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KJ3SFyxKdA', 'expanded_url': 'https://twitter.com/i/web/status/1285209674158088193', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:45:58,1285209337607135234,I think it would be stupid of @GovParsonMO to pardon the couple who pointed guns at protesters. Sets a precedent th… https://t.co/Hvgz4WlTHT,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GovParsonMO', 'name': 'Governor Mike Parson', 'id': 1003672320781807616, 'id_str': '1003672320781807616', 'indices': [30, 42]}], 'urls': [{'url': 'https://t.co/Hvgz4WlTHT', 'expanded_url': 'https://twitter.com/i/web/status/1285209337607135234', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:42:26,1285208447953371138,"FOR THE FUCKING LOVE OF GOD. YOUR MASK IS NOT FOR YOU, YOUR MASK IS FOR ME, MY GRANDMA, MY IMMUNOCOMPROMISED FRIEND… https://t.co/IyCLstAYW0","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IyCLstAYW0', 'expanded_url': 'https://twitter.com/i/web/status/1285208447953371138', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:38:36,1285207481661001728,@WongChenPKR @AzfarZA Too much power in the wrong hands is like giving a loaded gun to a child. PN seems to be head… https://t.co/TbwsrCWr4t,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WongChenPKR', 'name': 'Wong Chen', 'id': 949650217, 'id_str': '949650217', 'indices': [0, 12]}, {'screen_name': 'AzfarZA', 'name': 'Azfar Zainal Abidin', 'id': 209623896, 'id_str': '209623896', 'indices': [13, 21]}], 'urls': [{'url': 'https://t.co/TbwsrCWr4t', 'expanded_url': 'https://twitter.com/i/web/status/1285207481661001728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:37:12,1285207130413432832,RT @BobProbert7: @GenFlynn @CLL_slp_OH You are a hero ! An attempt was made to bring down a good man ! Failed ! Never ever play with a load…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BobProbert7', 'name': 'Hockeyanon', 'id': 1276182795568603136, 'id_str': '1276182795568603136', 'indices': [3, 15]}, {'screen_name': 'GenFlynn', 'name': 'General Flynn', 'id': 240454812, 'id_str': '240454812', 'indices': [17, 26]}, {'screen_name': 'CLL_slp_OH', 'name': 'CLLslp', 'id': 826071866162999298, 'id_str': '826071866162999298', 'indices': [27, 38]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:37:07,1285207109311827968,RT @Dream_Legos: Sara Howard threatening a man's genitals with a loaded gun. That's it. 'Nuf said. #TheAlienist https://t.co/YowpycXaZM,"{'hashtags': [{'text': 'TheAlienist', 'indices': [99, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Dream_Legos', 'name': 'Sarah', 'id': 1923703927, 'id_str': '1923703927', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1285045174603862016, 'id_str': '1285045174603862016', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EdVlxyCX0AAihXA.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EdVlxyCX0AAihXA.jpg', 'url': 'https://t.co/YowpycXaZM', 'display_url': 'pic.twitter.com/YowpycXaZM', 'expanded_url': 'https://twitter.com/Dream_Legos/status/1285045180916273153/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 260, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 260, 'resize': 'fit'}, 'small': {'w': 498, 'h': 260, 'resize': 'fit'}}, 'source_status_id': 1285045180916273153, 'source_status_id_str': '1285045180916273153', 'source_user_id': 1923703927, 'source_user_id_str': '1923703927'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:35:57,1285206814083239940,"You put in my hands a loaded gun, and then told me not to fire it","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:32:23,1285205917781372931,"#RT #NEWS #ViralVideo #LosAngelesProtest a
#DisabledMan in #Wheelchair fights being #Arrested after punching… https://t.co/6VkW2KkkfA","{'hashtags': [{'text': 'RT', 'indices': [0, 3]}, {'text': 'NEWS', 'indices': [4, 9]}, {'text': 'ViralVideo', 'indices': [10, 21]}, {'text': 'LosAngelesProtest', 'indices': [22, 40]}, {'text': 'DisabledMan', 'indices': [43, 55]}, {'text': 'Wheelchair', 'indices': [59, 70]}, {'text': 'Arrested', 'indices': [84, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6VkW2KkkfA', 'expanded_url': 'https://twitter.com/i/web/status/1285205917781372931', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
