,0,1,2,3,4
0,2020-07-20 13:57:46,1285212307371458560,"like.. yall r.... sumn else😭
imagien me having the @/santanalopezhusband ❤️

that’s fucking weird. bc she’s a lesbi… https://t.co/AUiXAq5DHc","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AUiXAq5DHc', 'expanded_url': 'https://twitter.com/i/web/status/1285212307371458560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:57:43,1285212295279316992,"hey! i’m yasman, a muslim iraqi lesbian! my pronouns r they/them and i’m also a minor. i scream over yumihisu from… https://t.co/ubcwmWU1Vw","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ubcwmWU1Vw', 'expanded_url': 'https://twitter.com/i/web/status/1285212295279316992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:57:42,1285212291127029761,RT @410eurok: ALL THESE BEAUTIFUL LESBIAN COUPLES GETTING ENGAGED 😭❤️ more please,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '410eurok', 'name': 'kyn 💛', 'id': 3928406303, 'id_str': '3928406303', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:57:39,1285212274605453314,RT @notlucyb: POV: you are at a local theatre production. a lesbian emerges from backstage in black jeans and a black tank top and a lanyar…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'notlucyb', 'name': 'lady disdain', 'id': 1163271788442210304, 'id_str': '1163271788442210304', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:57:36,1285212263352344577,"RT @bentomi7: #kanoka #shouko #haikyuu #hirugami 

lesbian panic https://t.co/58JXYnFxHR","{'hashtags': [{'text': 'kanoka', 'indices': [14, 21]}, {'text': 'shouko', 'indices': [22, 29]}, {'text': 'haikyuu', 'indices': [30, 38]}, {'text': 'hirugami', 'indices': [39, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'bentomi7', 'name': 'bentomi', 'id': 1217743929321410561, 'id_str': '1217743929321410561', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1285168369679900673, 'id_str': '1285168369679900673', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EdXV0rdWoAETksv.png', 'media_url_https': 'https://pbs.twimg.com/media/EdXV0rdWoAETksv.png', 'url': 'https://t.co/58JXYnFxHR', 'display_url': 'pic.twitter.com/58JXYnFxHR', 'expanded_url': 'https://twitter.com/bentomi7/status/1285168712429993985/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1000, 'h': 845, 'resize': 'fit'}, 'small': {'w': 680, 'h': 575, 'resize': 'fit'}, 'medium': {'w': 1000, 'h': 845, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1285168712429993985, 'source_status_id_str': '1285168712429993985', 'source_user_id': 1217743929321410561, 'source_user_id_str': '1217743929321410561'}]}","{'result_type': 'recent', 'iso_language_code': 'ca'}"
5,2020-07-20 13:57:32,1285212249196568576,@sry_fr_nthg @walls_blue @wild_smiler @clownkrru @ChaosUntold Not exactly. Some non binary folk are more femme lean… https://t.co/vMUcVacFld,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sry_fr_nthg', 'name': 'Canapé en Queer', 'id': 1091680016130338821, 'id_str': '1091680016130338821', 'indices': [0, 12]}, {'screen_name': 'walls_blue', 'name': 'Blue ²⁸', 'id': 4911760813, 'id_str': '4911760813', 'indices': [13, 24]}, {'screen_name': 'wild_smiler', 'name': '➵• ▿ ⚢ ▿ •➵', 'id': 1957743656, 'id_str': '1957743656', 'indices': [25, 37]}, {'screen_name': 'clownkrru', 'name': '𝐦𝐚𝐫𝐢𝐚', 'id': 1169514631515295744, 'id_str': '1169514631515295744', 'indices': [38, 48]}, {'screen_name': 'ChaosUntold', 'name': 'SJ 🤘', 'id': 1026054541471408128, 'id_str': '1026054541471408128', 'indices': [49, 61]}], 'urls': [{'url': 'https://t.co/vMUcVacFld', 'expanded_url': 'https://twitter.com/i/web/status/1285212249196568576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:57:29,1285212233429966848,"🖤Do I make a cute goth princess?🖤
#transgender #selfie #trans #lgbt #gay #lgbtq #lesbian #pride #corset #pansexual… https://t.co/iBe0Ja0w6j","{'hashtags': [{'text': 'transgender', 'indices': [34, 46]}, {'text': 'selfie', 'indices': [47, 54]}, {'text': 'trans', 'indices': [55, 61]}, {'text': 'lgbt', 'indices': [62, 67]}, {'text': 'gay', 'indices': [68, 72]}, {'text': 'lgbtq', 'indices': [73, 79]}, {'text': 'lesbian', 'indices': [80, 88]}, {'text': 'pride', 'indices': [89, 95]}, {'text': 'corset', 'indices': [96, 103]}, {'text': 'pansexual', 'indices': [104, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iBe0Ja0w6j', 'expanded_url': 'https://twitter.com/i/web/status/1285212233429966848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:57:28,1285212229026164736,RT @PinkNews: WWE star Tegan Nox comes out as gay and introduces her girlfriend to the world  https://t.co/gOBczHYr9r,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PinkNews', 'name': 'PinkNews', 'id': 27987687, 'id_str': '27987687', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/gOBczHYr9r', 'expanded_url': 'https://www.pinknews.co.uk/2020/07/17/wwe-star-tegan-nox-coming-out-gay-lesbian-pro-wrestling-steffanie-newell-sonya-deville/', 'display_url': 'pinknews.co.uk/2020/07/17/wwe…', 'indices': [94, 117]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:57:26,1285212220108963843,if you're a lesbian you're attracted to WOMEN,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:57:25,1285212219030925319,RT @zoecoombsmarr: Masterchef in times of Corona is all longing looks and people who can’t touch each other. The virus has engineered a les…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zoecoombsmarr', 'name': 'Zoë Coombs Marr', 'id': 906301740, 'id_str': '906301740', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
